cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"57899","0","3317192","3370517","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2011","11/15/2020","NM","240 Salt Lick Rd.","1ST ADVANTAGE BANCSHARES INC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","60672","548","2631","1777","249","0","0","4288","11348","28206","3686","149","0"
"16522","0","888253","2003975","1ST BANK","Evanston","WY","82930","12/31/2011","11/15/2020","NM","1001 Main St.","GLACIER BCORP INC","10","0","1","7","0","Uinta","","","1/1/1934","12/23/1946","9/22/2011","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","Kansas City","Western","West","0","0","","243215","2163","4846","11795","8405","13397","7765","26866","21646","41624","40261","42388","12757"
"22039","0","564856","1128415","1ST BANK","Sidney","MT","59270","12/31/2011","11/15/2020","SM","120 2nd St, N.W.","1ST UNITED BCORP INC","2","0","0","2","1","Richland","","","6/9/1975","6/9/1975","6/22/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","68810","1634","564","195","2011","85","0","22965","17229","8647","9781","5594","105"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","12/31/2011","11/15/2020","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","54156","2373","7130","242","416","3277","5753","3631","10045","6912","6879","6178","1129"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2011","11/15/2020","SA","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","192215","","","","","","","","","","","",""
"4788","0","488055","1055904","1ST BANK OF TROY","Troy","KS","66087","12/31/2011","11/15/2020","NM","212 S. Main St.","DON-CO INVESTMENT CO","1","0","0","2","0","Doniphan","41140","St. Joseph, MO-KS","2/4/1870","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","11294","54","90","642","202","690","0","1134","1518","2861","3019","1084","0"
"31826","7509","589671","1133286","1ST BANK OKLAHOMA","Claremore","OK","74017","12/31/2011","11/15/2020","SA","1698 S Lynn Riggs Blvd","BANCFIRST CORP","6","0","0","4","0","Rogers","46140","Tulsa, OK","10/12/1976","10/12/1976","7/21/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","0","","108275","6177","7130","11595","1494","1728","1244","29715","14436","21684","5211","4743","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2011","11/15/2020","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","106851","23","236","896","1028","695","1421","15149","11973","29609","19334","13665","11580"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","12/31/2011","11/15/2020","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","6","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","33632","767","2142","4967","5990","3928","4619","847","1306","2646","4065","1686","543"
"58485","0","3594797","","1ST CAPITAL BANK","Monterey","CA","93940","12/31/2011","11/15/2020","NM","5 Harris Court, Bldg. N, # N","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","4/21/2008","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","200582","606","649","7662","7835","152","0","31637","37133","36936","25810","51592","228"
