cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,drlnls,drre,drrenus,iddrredm,drrecons,DRRECNFM,DRRECNOT,drreag,drreres,drremult,drrenres,DRRENROW,DRRENROT,drrefor,drdep,drdepnus,drag,drci,drcon,drcrcd,DRAUTO,DRCONOTH,drforgv,drother,drls,dragsm,crlnls,crre,crrenus,idcrredm,crrecons,CRRECNFM,CRRECNOT,crreag,crreres,crremult,crrenres,CRRENROW,CRRENROT,crrefor,crdep,crdepnus,crag,crci,crcon,crcrcd,CRAUTO,CRCONOTH,crforgv,crother,crls,cragsm,ntlnls,ntre,ntrenus,idntredm,ntrecons,NTRECNFM,NTRECNOT,ntreag,ntreres,ntremult,ntrenres,NTRENROW,NTRENROT,ntrefor,ntdep,ntdepnus,ntag,ntci,ntcinus,ntcon,ntcrcd,NTAUTO,NTCONOTH,ntforgv,ntother,ntls,ntagsm
"4829","0","746223","2706726","1880 BANK","Cambridge","MD","21613","12/31/2019","8/22/2022","SM","304 High St.","DELMARVA BANCSHARES INC","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","3","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","3","0","0","3","","0","0","0","8","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","8","0","0","8","","0","0","0","-5","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","-5","0","0","-5","","0","0","0"
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2019","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","18","18","","18","18","0","18","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","-18","-18","","-18","-18","0","-18","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"22039","0","564856","1128415","1ST BANK","Broadus","MT","59317","12/31/2019","8/22/2022","SM","201 N. Wilbur Ave","1ST UNITED BCORP INC","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","54","0","","0","0","0","0","0","0","0","0","0","0","","","","","54","0","0","0","0","","0","0","0","-54","0","","0","0","0","0","0","0","0","0","0","0","","","","","-54","","0","0","0","0","","0","0","0"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","12/31/2019","8/22/2022","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/19/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","243","0","","0","0","0","0","0","0","0","0","0","0","","","","","97","146","0","85","61","","0","0","0","123","0","","0","0","0","0","0","0","0","0","0","0","","","","","73","50","0","33","17","","0","0","0","120","0","","0","0","0","0","0","0","0","0","0","0","","","","","24","","96","0","52","44","","0","0","0"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","12/31/2019","8/22/2022","SM","117 N. Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","7/19/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","52","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","52","0","0","52","","0","0","0","17","0","","0","0","0","0","0","0","0","0","0","0","","","","","3","14","0","0","14","","0","0","0","35","0","","0","0","0","0","0","0","0","0","0","0","","","","","-3","","38","0","0","38","","0","0","0"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2019","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","5","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","5","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","5","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","5","0","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2019","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","160","87","","87","0","0","0","87","0","0","0","0","0","","","","","25","5","0","0","5","","43","0","0","27","4","","4","0","0","0","0","4","0","0","0","0","","","","","1","1","0","0","1","","21","0","0","133","83","","83","0","0","0","87","-4","0","0","0","0","","","","","24","","4","0","0","4","","22","0","0"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","12/31/2019","8/22/2022","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","1","","0","0","0","-1","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","-1","0","0","-1","","0","0","0"
"58485","0","3594797","","1ST CAPITAL BANK","Salinas","CA","93901","12/31/2019","8/22/2022","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","46","0","","0","0","0","0","0","0","0","0","0","0","","","","","46","0","0","0","0","","0","0","0","-46","0","","0","0","0","0","0","0","0","0","0","0","","","","","-46","","0","0","0","0","","0","0","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","12/31/2019","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","2491","982","","982","38","38","0","0","548","348","48","48","0","","","","","1492","17","0","0","17","","0","0","0","351","159","","159","0","0","0","0","96","0","63","63","0","","","","","181","11","0","0","11","","0","0","0","2140","823","","823","38","38","0","0","452","348","-15","-15","0","","","","","1311","","6","0","0","6","","0","0","0"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","12/31/2019","8/22/2022","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"27552","10064","1412619","2784920","1ST CONSTITUTION BANK","Cranbury","NJ","8512","12/31/2019","8/22/2022","NM","2650 Rt. 130","1ST CONSTITUTION BCORP","27","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","11/8/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","488","75","","75","0","0","0","0","0","0","75","75","0","","","","","364","0","0","0","0","","49","0","0","7","0","","0","0","0","0","0","0","0","0","0","0","","","","","1","0","0","0","0","","6","0","0","481","75","","75","0","0","0","0","0","0","75","75","0","","","","","363","","0","0","0","0","","43","0","0"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","12/31/2019","8/22/2022","NM","3956 W. Dempster St.","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","2","0","","0","0","0","0","0","0","0","0","0","0","","","","","2","0","0","0","0","","0","0","0","-2","0","","0","0","0","0","0","0","0","0","0","0","","","","","-2","","0","0","0","0","","0","0","0"
"57611","0","3203996","3203987","1ST EQUITY BANK NORTHWEST","Buffalo Grove","IL","60089","12/31/2019","8/22/2022","NM","1330 Dundee Rd.","NORTHWEST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","12/31/2019","8/22/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","22","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","1","","21","0","0","12","0","","0","0","0","0","0","0","0","0","0","0","","","","","8","0","0","0","0","","4","0","0","10","0","","0","0","0","0","0","0","0","0","0","0","","","","","-8","","1","0","0","1","","17","0","0"
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","12/31/2019","8/22/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","31301","529","0","529","529","529","0","0","0","0","0","0","0","0","","","0","0","30765","30764","1","0","0","7","0","","6493","369","0","369","369","369","0","0","0","0","0","0","0","0","","","0","0","6122","6121","1","0","0","2","0","","24808","160","0","160","160","160","0","0","0","0","0","0","0","0","","","0","0","0","24643","24643","0","0","0","5","0",""
"6646","8805","480723","","1ST NATIONAL BANK","Lebanon","OH","45036","12/31/2019","8/22/2022","N","730 E. Main St.","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","41","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","41","0","0","41","","0","0","0","12","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","12","0","0","12","","0","0","0","29","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","29","0","0","29","","0","0","0"
"57633","0","1018927","4347208","1ST SECURITY BANK OF WASHINGTON","Mountlake Terrac","WA","98043","12/31/2019","8/22/2022","SB","6920 220th St. Sw, # 300","FS BCORP INC","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","2628","5","0","5","0","0","0","0","5","0","0","0","0","","","","","1583","1040","0","0","1040","","0","0","0","628","10","0","10","0","0","0","0","10","0","0","0","0","","","","","0","618","0","10","608","","0","0","0","2000","-5","0","-5","0","0","0","0","-5","0","0","0","0","","","","","1583","0","422","0","-10","432","","0","0","0"
"9087","10250","991340","1199602","1ST SOURCE BANK","South Bend","IN","46601","12/31/2019","8/22/2022","SM","100 N. Michigan St, # B","1ST SOURCE CORP","83","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","7591","61","0","61","0","0","0","0","53","0","8","8","0","","","","","6341","571","0","141","430","","495","123","0","2543","156","0","156","0","0","0","3","65","0","88","88","0","","","","","1936","124","0","29","95","","207","120","12","5048","-95","0","-95","0","0","0","-3","-12","0","-80","-80","0","","","","","4405","1884","447","0","112","335","","288","3","-12"
"57626","0","3223305","3223293","1ST STATE BANK","Saginaw","MI","48604","12/31/2019","8/22/2022","NM","4800 Fashion Sq. Blvd, # 100","1ST STATE FINANCIAL LTD","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststate.bank","737","586","","586","0","0","0","0","0","0","586","213","373","","","","","146","5","4","0","1","","0","0","0","39","37","","37","0","0","0","0","35","0","2","0","2","","","","","1","1","0","0","1","","0","0","0","698","549","","549","0","0","0","0","-35","0","584","213","371","","","","","145","","4","4","0","0","","0","0","0"
"22543","14261","170640","3070152","1ST STATE BANK OF MASON CITY","Mason City","IL","62664","12/31/2019","8/22/2022","NM","123 W. Elm St.","FIRSTATE BCORP INC","1","0","0","7","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","47","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","47","0","38","9","","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","1","","0","0","0","46","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","46","0","38","8","","0","0","0"
"8426","10595","526519","1830240","1ST SUMMIT BANK","Johnstown","PA","15904","12/31/2019","8/22/2022","NM","125 Donald Ln.","1ST SUMMIT BCORP JOHNSTOWN INC","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.bank","816","596","0","596","0","0","0","0","63","0","533","0","533","","","","","18","160","48","36","76","","42","0","0","94","21","0","21","0","0","0","0","4","0","17","0","17","","","","","29","28","6","12","10","","16","0","0","722","575","0","575","0","0","0","0","59","0","516","0","516","","","","","-11","0","132","42","24","66","","26","0","0"
"57869","0","3309393","","1ST TRUST BANK, INC.","Hazard","KY","41701","12/31/2019","8/22/2022","NM","44 Commerce Dr.","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/16/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","600","242","","242","0","0","0","0","46","0","196","14","182","","","","","327","31","0","0","31","","0","0","0","133","90","","90","0","0","0","0","0","0","90","0","90","","","","","31","12","0","0","12","","0","0","0","467","152","","152","0","0","0","0","46","0","106","14","92","","","","","296","","19","0","0","19","","0","0","0"
"31249","6607","350572","4498726","1ST UNITED BANK","Faribault","MN","55021","12/31/2019","8/22/2022","NM","430 4th St Nw","J&B FINANCIAL HOLDINGS INC","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.1stunited.com","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"9751","0","340256","3304352","21ST CENTURY BANK","Loretto","MN","55357","12/31/2019","8/22/2022","NM","699 N. Medina St.","DOLPHIN FAMILY MANAGEMENT CO","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","152","0","","0","0","0","0","0","0","0","0","0","0","","","","","152","0","0","0","0","","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","","","","","1","0","0","0","0","","0","0","0","151","0","","0","0","0","0","0","0","0","0","0","0","","","","","151","","0","0","0","0","","0","0","0"
"16910","0","449430","3438051","22ND STATE BANK","Louisville","AL","36048","12/31/2019","8/22/2022","NM","1920 Main St.","FEB BANCSHARES INC","5","0","0","4","1","Barbour","","","1/1/1917","5/29/1950","10/1/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.22ndstatebank.com","450","370","","370","0","0","0","0","33","0","337","0","337","","","","","0","24","0","1","23","","56","0","0","23","14","","14","9","0","9","0","4","0","1","0","1","","","","","2","2","0","0","2","","5","0","0","427","356","","356","-9","0","-9","0","29","0","336","0","336","","","","","-2","","22","0","1","21","","51","0","0"
"91005","0","455253","4754758","5STAR BANK","Colorado Springs","CO","80914","12/31/2019","8/22/2022","NM","Peterson Air Force Base, 455","LITTLE LONDON BCORP","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","46","0","","0","0","0","0","0","0","0","0","0","0","","","","","46","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","46","0","","0","0","0","0","0","0","0","0","0","0","","","","","46","","0","0","0","0","","0","0","0"
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","12/31/2019","8/22/2022","NM","2815 Meredyth Dr.","COMMUNITY CAPITAL BANCSHARES","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.abtgold.com","77","74","","74","0","0","0","0","74","0","0","0","0","","","","","0","3","0","0","3","","0","0","0","16","9","","9","0","0","0","0","8","0","1","0","1","","","","","5","2","0","0","2","","0","0","0","61","65","","65","0","0","0","0","66","0","-1","0","-1","","","","","-5","","1","0","0","1","","0","0","0"
"32257","8059","762773","","ABACUS FEDERAL SAVINGS BANK","New York","NY","10013","12/31/2019","8/22/2022","SA","6 Bowery","","6","0","1","5","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.abacusbank.com","10","10","","10","10","10","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","10","10","","10","10","10","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"30332","5179","114774","","ABBEVILLE BUILDING & LOAN (A STATE-CHARTERED SAVINGS BANK)","Abbeville","LA","70510","12/31/2019","8/22/2022","SB","1212 Charity St.","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","3/31/2006","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.abbemae.com","21","21","","21","0","0","0","0","21","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","21","21","","21","0","0","0","0","21","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"30619","5642","416272","","ABBEVILLE FIRST BANK, SSB","Abbeville","SC","29620","12/31/2019","8/22/2022","SB","205 S. Main St","","2","0","0","8","0","Abbeville","","","1/1/1907","5/11/1953","10/17/2013","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://www.abbevillefirst.com","571","382","","382","0","0","0","0","248","0","134","134","0","","","","","177","2","0","2","0","","10","0","0","525","521","","521","0","0","0","0","209","0","312","312","0","","","","","0","3","0","0","3","","1","0","0","46","-139","","-139","0","0","0","0","39","0","-178","-178","0","","","","","177","","-1","0","2","-3","","9","0","0"
"19795","16035","198149","3612794","ABBYBANK","Abbotsford","WI","54405","12/31/2019","8/22/2022","NM","401 E. Spruce St.","ABBY BCORP INC","8","0","0","2","0","Marathon","48140","Wausau, WI","3/1/1968","3/1/1968","10/25/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","www.abbybank.com","406","193","","193","0","0","0","0","192","0","1","0","1","","","","","26","14","0","0","14","","173","0","0","49","44","","44","0","0","0","44","0","0","0","0","0","","","","","2","0","0","0","0","","3","0","0","357","149","","149","0","0","0","-44","192","0","1","0","1","","","","","24","","14","0","0","14","","170","0","0"
"26590","13875","61476","3728930","ABINGTON BANK","Abington","MA","2351","12/31/2019","8/22/2022","SM","6 Harrison Ave.","HOMETOWN FINANCIAL GROUP MHC","6","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","1/1/1916","3/6/1986","5/18/2019","Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","0","www.abingtonbank.com","4","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","4","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","4","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","4","0","0"
"19600","0","535753","2107707","ACADEMY BANK, NATIONAL ASSOCIATION","Kansas City","MO","64154","12/31/2019","8/22/2022","N","8551 N Boardwalk Ave.","DICKINSON FINANCIAL CORP II","80","0","1","4","0","Platte","28140","Kansas City, MO-KS","6/15/1966","6/15/1966","10/18/2019","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.academybank.com","8461","53","","53","0","0","0","0","12","0","41","0","41","","","","","969","1636","82","0","1554","","5803","0","0","1847","180","","180","168","0","168","0","0","0","12","12","0","","","","","36","335","48","0","287","","1296","0","0","6614","-127","","-127","-168","0","-168","0","12","0","29","-12","41","","","","","933","","1301","34","0","1267","","4507","0","0"
"4061","13760","266253","1055708","ACB BANK","Cherokee","OK","73728","12/31/2019","8/22/2022","NM","323 S Grand St.","ALFALFA COUNTY BANCSHARES INC","3","0","0","2","1","Alfalfa","","","1/29/1908","1/1/1934","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.acbbank.net","1659","6","","6","0","0","0","0","6","0","0","0","0","","","","","124","65","0","51","14","","1464","0","1322","3","0","","0","0","0","0","0","0","0","0","0","0","","","","","1","2","0","0","2","","0","0","0","1656","6","","6","0","0","0","0","6","0","0","0","0","","","","","123","","63","0","51","12","","1464","0","1322"
"58727","0","3614837","3637939","ACCESS BANK","Omaha","NE","68114","12/31/2019","8/22/2022","NM","8712 W. Dodge Rd.","3MV BCORP INC","7","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/10/2007","12/10/2007","5/6/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","WWW.ACCESSBANK.COM","17","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","17","0","0","486","0","0","0","0","0","0","0","0","0","0","0","0","","","","","484","0","0","0","0","","2","0","0","-469","0","0","0","0","0","0","0","0","0","0","0","0","","","","","-484","0","0","0","0","0","","15","0","0"
"58562","0","3535848","4556381","ACCESSBANK TEXAS","Denton","TX","76201","12/31/2019","8/22/2022","NM","320 W. Eagle Drive, # 100","ACCESS BCORP INC","6","0","0","4","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","10/22/2007","10/22/2007","5/16/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://WWW.ACCESSBANKTX.COM","533","0","","0","0","0","0","0","0","0","0","0","0","","","","","508","10","3","7","0","","15","0","0","91","75","","75","0","0","0","0","0","0","75","75","0","","","","","10","0","0","0","0","","6","0","0","442","-75","","-75","0","0","0","0","0","0","-75","-75","0","","","","","498","","10","3","7","0","","9","0","0"
"7506","12499","5210","1117464","ACNB BANK","Gettysburg","PA","17325","12/31/2019","8/22/2022","NM","16 Lincoln Sq.","ACNB CORP","29","0","1","4","0","Adams","23900","Gettysburg, PA","4/11/1857","1/1/1934","7/1/2017","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","http://www.acnb.com","917","552","","552","0","0","0","0","474","0","78","78","0","","","","","59","202","0","0","202","","104","0","0","188","59","","59","0","0","0","0","49","0","10","5","5","","","","","49","63","0","0","63","","17","0","0","729","493","","493","0","0","0","0","425","0","68","73","-5","","","","","10","","139","0","0","139","","87","0","0"
"18489","12279","463650","5006472","ADAMS BANK & TRUST","Ogallala","NE","69153","12/31/2019","8/22/2022","SM","315 N. Spruce St.","ADAGE LLC","20","0","1","2","0","Keith","","","2/26/1962","2/26/1962","10/3/2017","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","http://www.abtbank.com","406","53","","53","0","0","0","0","3","0","50","50","0","","","","","56","77","0","22","55","","220","0","165","270","150","","150","0","0","0","0","0","0","150","0","150","","","","","44","12","0","7","5","","64","0","47","136","-97","","-97","0","0","0","0","3","0","-100","50","-150","","","","","12","","65","0","15","50","","156","0","118"
