cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"57899","0","3317192","3370517","1ST ADVANTAGE BANK","Saint Peters","MO","63376","6/30/2011","11/15/2020","NM","240 Salt Lick Rd.","1ST ADVANTAGE BANCSHARES INC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","31752","6496","19555","5153","548","20759","5661","9757","4366","975"
"16522","0","888253","2003975","1ST BANK","Evanston","WY","82930","6/30/2011","11/15/2020","NM","1001 Main St.","GLACIER BCORP INC","10","0","1","5","0","Uinta","","","1/1/1934","12/23/1946","4/20/2011","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","Kansas City","Western","West","0","0","","72417","21446","43775","4064","3132","95987","44569","45717","2049","3652"
"22039","0","564856","1128415","1ST BANK","Sidney","MT","59270","6/30/2011","11/15/2020","SM","120 2nd St, N.W.","1ST UNITED BCORP INC","2","0","0","2","1","Richland","","","6/9/1975","6/9/1975","6/22/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","11443","3096","5996","1936","415","9252","2153","5813","1286","0"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","6/30/2011","11/15/2020","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","21120","6411","11686","2956","66","14042","4007","8253","1782","0"
"30367","5236","148470","","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","6/30/2011","11/15/2020","SA","4301 Landis Ave.","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","3/31/2006","Stock","0","0","OTS","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","","","","","","35048","","","",""
"4788","0","488055","1055904","1ST BANK OF TROY","Troy","KS","66087","6/30/2011","11/15/2020","NM","212 S. Main St.","DON-CO INVESTMENT CO","1","0","0","2","0","Doniphan","41140","St. Joseph, MO-KS","2/4/1870","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","5717","1832","3565","320","0","2245","542","1490","213","0"
"31826","7509","589671","1058165","1ST BANK OKLAHOMA","Claremore","OK","74017","6/30/2011","11/15/2020","SA","1698 S Lynn Riggs Blvd","MORRILL BANCSHARES INC","6","0","0","4","0","Rogers","46140","Tulsa, OK","10/12/1976","10/12/1976","3/31/2006","Stock","0","0","OTS","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","","","","","","30113","","","",""
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","6/30/2011","11/15/2020","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","15177","5585","5743","2212","1638","25603","12997","6214","4442","1950"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","6/30/2011","11/15/2020","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","6","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","12107","3488","5937","2133","549","8153","2262","3553","1973","365"
"58485","0","3594797","","1ST CAPITAL BANK","Monterey","CA","93940","6/30/2011","11/15/2020","NM","5 Harris Court, Bldg. N, # N","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","4/21/2008","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","7542","1863","5161","518","0","39552","13692","21592","4268","0"
