cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnreres,LNRERSFM,LNRERSF2,lnreloc,LNRERSF1
"57899","0","3317192","3370517","1ST ADVANTAGE BANK","Saint Peters","MO","63376","6/30/2011","11/15/2020","NM","240 Salt Lick Rd.","1ST ADVANTAGE BANCSHARES INC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","7944","7241","58","645","721"
"16522","0","888253","2003975","1ST BANK","Evanston","WY","82930","6/30/2011","11/15/2020","NM","1001 Main St.","GLACIER BCORP INC","10","0","1","5","0","Uinta","","","1/1/1934","12/23/1946","4/20/2011","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","Kansas City","Western","West","0","0","","70833","51103","4518","15212","3328"
"22039","0","564856","1128415","1ST BANK","Sidney","MT","59270","6/30/2011","11/15/2020","SM","120 2nd St, N.W.","1ST UNITED BCORP INC","2","0","0","2","1","Richland","","","6/9/1975","6/9/1975","6/22/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","4807","4198","609","0","2206"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","6/30/2011","11/15/2020","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","20067","20067","0","0","17906"
"30367","5236","148470","","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","6/30/2011","11/15/2020","SA","4301 Landis Ave.","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","3/31/2006","Stock","0","0","OTS","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","143072","110555","2809","29708",""
"4788","0","488055","1055904","1ST BANK OF TROY","Troy","KS","66087","6/30/2011","11/15/2020","NM","212 S. Main St.","DON-CO INVESTMENT CO","1","0","0","2","0","Doniphan","41140","St. Joseph, MO-KS","2/4/1870","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","1889","1889","0","0","1104"
"31826","7509","589671","1058165","1ST BANK OKLAHOMA","Claremore","OK","74017","6/30/2011","11/15/2020","SA","1698 S Lynn Riggs Blvd","MORRILL BANCSHARES INC","6","0","0","4","0","Rogers","46140","Tulsa, OK","10/12/1976","10/12/1976","3/31/2006","Stock","0","0","OTS","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","37416","30671","3705","3040",""
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","6/30/2011","11/15/2020","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","8265","3978","773","3514","0"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","6/30/2011","11/15/2020","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","6","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","23383","22324","584","475","10733"
"58485","0","3594797","","1ST CAPITAL BANK","Monterey","CA","93940","6/30/2011","11/15/2020","NM","5 Harris Court, Bldg. N, # N","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","4/21/2008","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","23788","12634","330","10824","6140"
